X,Y,Class
0.2624,15.9829,high
0.001,10.4089,low
0.001,10.5809,low
3.5738,13.1509,high
0.001,9.548,low
0.7713,15.5144,high
0.001,10.0218,low
10.1633,14.1756,high
3.1653,14.3275,high
160.5981,12.2891,high
0.001,10.2424,low
0.001,10.1544,low
22.5267,16.6815,high
0.001,10.6641,low
126.7615,15.6152,high
647.7684,15.5963,high
0.1417,15.8826,high
1.6075,13.1637,high
0.001,10.3858,low
0.0726,14.9952,high
28.8402,16.8663,high
475.3779,15.4505,high
0.6413,17.5057,high
0.001,11.037,low
0.001,10.0015,low
0.001,10.049,low
0.4878,12.6764,high
0.001,9.8331,low
670.4926,16.141,high
0.001,9.199,low
0.001,9.8657,low
4.2655,18.3914,high
2.8498,17.4364,high
0.001,9.8868,low
0.001,10.0298,low
0.001,9.6404,low
19.1765,13.0354,high
14.2979,15.8329,high
29.2018,15.6774,high
122.4705,15.2781,high
0.001,10.512,low
59.6008,13.8328,high
4.7112,16.5438,high
0.001,9.5052,low
232.1424,14.269,high
0.001,10.528,low
0.0932,17.6925,high
0.001,10.6449,low
0.001,9.3516,low
5.5729,15.4484,high
0.001,10.3077,low
0.001,9.8705,low
68.4806,15.3506,high
0.001,10.442,low
342.3245,14.5546,high
0.001,10.1509,low
35.4909,14.5688,high
0.001,9.9923,low
0.1797,12.586,high
0.001,9.9584,low
0.001,10.8167,low
12.8328,12.4147,high
0.001,10.5824,low
1.2324,16.631,high
0.001,9.8059,low
0.001,9.6993,low
0.001,10.52,low
12.9728,14.2046,high
0.0031,14.6837,high
0.001,9.2968,low
0.001,9.9906,low
0.0023,15.6034,high
161.5188,17.6366,high
0.001,9.4285,low
1.0762,15.2188,high
0.001,10.6702,low
7.0747,12.7857,high
0.0356,16.3641,high
0.001,9.5784,low
1.0385,15.851,high
0.001,9.6264,low
0.001,10.0852,low
0.001,10.026,low
0.001,9.4639,low
0.001,9.4921,low
0.001,9.5576,low
46.3971,13.3101,high
5.3606,16.3857,high
11.8384,17.0253,high
0.0114,13.2067,high
0.001,9.1918,low
3.3089,15.2462,high
0.001,9.8593,low
22.1971,13.2465,high
0.0304,18.4699,high
0.001,10.4267,low
0.001,9.8454,low
2110.3748,14.8163,high
0.001,9.6952,low
0.4451,11.2207,high
0.001,10.9695,low
0.5196,17.46,high
0.001,10.258,low
9.4684,13.566,high
0.001,9.8549,low
0.0428,14.9019,high
0.0164,11.448,high
0.001,9.8257,low
1.2289,14.9038,high
18.804,15.562,high
0.001,10.7388,low
63.6319,16.4628,high
10.7687,15.4156,high
2.7222,13.6598,high
0.001,9.6754,low
0.001,9.2576,low
0.001,11.0287,low
0.001,9.1135,low
0.001,9.8376,low
0.001,9.7853,low
18.9306,18.6144,high
0.001,9.7097,low
0.001,9.28,low
2.3415,13.2144,high
1.7147,13.4182,high
3.7734,14.3983,high
0.0032,17.7869,high
0.001,10.0464,low
0.001,9.9506,low
4.168,14.1912,high
21.2509,15.2798,high
0.001,10.3154,low
0.001,10.8553,low
0.0635,15.5547,high
2.9294,15.0158,high
34.4508,11.5376,high
17.5068,14.8279,high
0.001,9.9878,low
11.4635,15.4371,high
0.001,10.4596,low
0.001,10.1537,low
0.001,10.06,low
0.069,15.3728,high
0.001,9.561,low
0.3932,14.3956,high
0.83,14.726,high
0.001,9.9135,low
0.001,9.8705,low
18.7922,15.0376,high
0.001,9.9125,low
0.001,9.9357,low
220.9838,16.1061,high
444.2052,13.3314,high
0.5854,14.545,high
6.8492,17.0143,high
1.5305,16.7588,high
3.1346,17.1162,high
0.001,9.8883,low
24.2092,15.5051,high
0.001,10.1336,low
0.001,10.0917,low
0.001,10.515,low
12810.7924,14.8382,high
64.2414,15.6349,high
4.508,14.4747,high
3.7381,14.405,high
0.3251,18.5927,high
697.6921,12.3684,high
0.001,9.5471,low
25.9424,17.9899,high
0.001,9.2217,low
0.001,9.7584,low
0.001,10.2223,low
0.001,9.4886,low
0.001,9.8284,low
1.7227,15.7233,high
3.3518,16.0056,high
0.3623,13.582,high
0.0434,14.3594,high
0.3276,14.4229,high
0.0596,15.2686,high
4.7367,15.025,high
0.001,9.1773,low
0.001,10.7356,low
